DevEUI,Status,Atividade,Porta
0080e115000d65e8,Na NLT,Ativo,8
0080e115000d65e9,Na NLT,Ativo,8
0080e115000d6787,Na NLT,Ativo,8
0080e115000d6788,Na NLT,Ativo,8
0080e115000d678f,Na NLT,Não ativo, desconhecida
0080e115000d67a7,Na NLT,Ativo,8
0080e115000d67a8,Na NLT,Não ativo, desconhecida
0080e115000d67ae,Na NLT,Não ativo,0
0080e115000d67b5,Na NLT,Ativo, desconhecida
0080e115000d67c2,Na NLT,Não ativo, desconhecida
0080e115000d67c7,Na NLT,Ativo,8
0080e115000d67c8,Na NLT,Ativo,8
0080e115000d68ba,Na NLT,Não ativo, desconhecida
0080e115000d68be,Na NLT,Ativo,8
0080e115000d68bf,Na NLT,Ativo,8
0080e115000d68c0,Na NLT,Ativo,8
0080e115000d68c1,Na NLT,Não ativo, desconhecida
0080e115000d68c5,Na NLT,Não ativo, desconhecida
0080e115000d68ca,Na NLT,Ativo,8
0080e115000d68cb,Na NLT,Não ativo, desconhecida
0080e115000d68cc,Na NLT,Não ativo, desconhecida
0080e115000d6a6d,Na NLT,Não ativo, desconhecida
0080e115000d6a6e,Na NLT,Não ativo, desconhecida
0080e115000d6a74,Na NLT,Ativo,8
0080e115000d6a82,Fora da NLT,Não ativo, desconhecida
0080e115000d6a83,Na NLT,Não ativo, desconhecida
0080e115000d6a92,Fora da NLT,Não ativo, desconhecida
0080e115000d6aa5,Na NLT,Ativo,8
0080e115000d6aac,Na NLT,Ativo,8
0080e115000d6b99,Na NLT,Não ativo, desconhecida
0080e115000d6b9a,Na NLT,Ativo,8
0080e115000d6b9b,Na NLT,Não ativo, desconhecida
0080e115000d6b9c,Na NLT,Ativo,8
0080e115000d6b9f,Na NLT,Ativo,8
0080e115000d6ba0,Na NLT,Ativo,8
0080e115000d6ba5,Na NLT,Ativo,8
0080e115000d6ba6,Na NLT,Ativo,8
0080e115000d6ba7,Na NLT,Ativo,8
0080e115000d6d52,Na NLT,Não ativo, desconhecida
0080e115000d6d54,Na NLT,Não ativo, desconhecida
0080e115000d6d5a,Na NLT,Ativo,8
0080e115000d6d67,Na NLT,Não ativo, desconhecida
0080e115000d6d69,Na NLT,Não ativo, desconhecida
0080e115000d6d6e,Na NLT,Ativo,8
0080e115000d6e65,Na NLT,Ativo,8
0080e115000d6e6a,Fora da NLT,Não ativo, desconhecida
0080e115000d6e6b,Na NLT,Ativo,8
0080e115000d6e70,Na NLT,Não ativo, desconhecida
0080e115000d6e71,Na NLT,Não ativo, desconhecida
0080e115000d6e82,Na NLT,Ativo,8
0080e115000d6e84,Na NLT,Não ativo, desconhecida
0080e115000d6e88,Na NLT,Não ativo, desconhecida
0080e115000d7008,Na NLT,Não ativo, desconhecida
0080e115000d7009,Na NLT,Ativo,8
0080e115000d700a,Na NLT,Ativo,8
0080e115000d700b,Na NLT,Não ativo, desconhecida
0080e115000d700f,Na NLT,Ativo,8
0080e115000d7011,Na NLT,Ativo,8
0080e115000d7012,Na NLT,Ativo,8
0080e115000d7013,Na NLT,Não ativo, desconhecida
0080e115000d7014,Na NLT,Ativo,8
0080e115000d7017,Na NLT,Ativo,8
0080e115000d7018,Na NLT,Ativo,8
0080e115000d7019,Na NLT,Ativo,8
0080e115000d701a,Na NLT,Ativo,8
0080e115000d701f,Na NLT,Ativo,8
0080e115000d70c8,Na NLT,Não ativo, desconhecida
0080e115000d70c9,Na NLT,Ativo,8
0080e115000d70d6,Na NLT,Não ativo, desconhecida
0080e115000d70dd,Fora da NLT,Não ativo, desconhecida
0080e115000d70f6,Na NLT,Não ativo, desconhecida
0080e115000d70f7,Na NLT,Ativo,8
0080e115000d70fa,Na NLT,Não ativo, desconhecida
0080e115000d710b,Na NLT,Ativo,8
0080e115000d710c,Na NLT,Ativo,8
0080e115000d710f,Na NLT,Ativo,8
0080e115000d7110,Fora da NLT,Não ativo, desconhecida
0080e115000d722c,Na NLT,Não ativo, desconhecida
0080e115000d722e,Na NLT,Ativo,8
0080e115000d7233,Na NLT,Não ativo, desconhecida
0080e115000d7234,Na NLT,Ativo,8
0080e115000d7237,Na NLT,Ativo,8
0080e115000d7238,Na NLT,Não ativo, desconhecida
0080e115000d7239,Na NLT,Não ativo, desconhecida
0080e115000d723a,Na NLT,Não ativo, desconhecida
0080e115000d7243,Na NLT,Ativo,8
0080e115000d7245,Na NLT,Ativo,8
0080e115000d7246,Na NLT,Ativo,8
0080e115000d7249,Na NLT,Ativo,8
0080e115000d724a,Fora da NLT,Não ativo, desconhecida
0080e115000d724f,Na NLT,Não ativo, desconhecida
0080e115000d7251,Na NLT,Não ativo, desconhecida
0080e115000d7298,Na NLT,Ativo,8
0080e115000d72a5,Na NLT,Ativo,8
0080e115000d72aa,Na NLT,Ativo,8
0080e115000d72b8,Na NLT,Ativo,8
0080e115000d72b9,Na NLT,Não ativo, desconhecida
0080e115000d72ba,Na NLT,Não ativo, desconhecida
0080e115000d72bd,Na NLT,Ativo,8
0080e115000d72be,Na NLT,Não ativo, desconhecida
0080e115000d72bf,Na NLT,Ativo,8
0080e115000d72cb,Na NLT,Ativo,8
0080e115000d72cc,Na NLT,Ativo,8
0080e115000d72cd,Na NLT,Não ativo, desconhecida
0080e115000d72d0,Na NLT,Ativo,8
0080e115000d72d3,Na NLT,Ativo,8
0080e115000d733c,Na NLT,Ativo,8
0080e115000d733d,Na NLT,Ativo,8
0080e115000d733e,Na NLT,Ativo,8
0080e115000d7391,Na NLT,Ativo,8
0080e115000d7393,Na NLT,Ativo,8
0080e115000d73a2,Na NLT,Ativo,8
0080e115000d73a3,Na NLT,Ativo,8
0080e115000d73a5,Na NLT,Não ativo, desconhecida
0080e115000d7524,Na NLT,Ativo,8
0080e115000d7600,Na NLT,Ativo,8
0080e115000d760b,Na NLT,Ativo,8
0080e115000d7615,Na NLT,Ativo,8
0080e115000d76fb,Na NLT,Ativo,8
0080e115000d770a,Na NLT,Não ativo, desconhecida
0080e115000d7881,Na NLT,Ativo,8
0080e115000d78b0,Na NLT,Ativo,8
0080e115000d793f,Na NLT,Não ativo, desconhecida
0080e115000d7946,Na NLT,Ativo,8
0080e115000d79c9,Na NLT,Não ativo, desconhecida
0080e115000d7a39,Na NLT,Não ativo, desconhecida
0080e115000d7b8a,Na NLT,Ativo,8
0080e115000d7b8b,Na NLT,Ativo,8
0080e115000d7b8f,Na NLT,Ativo,8
0080e115000d7b96,Na NLT,Ativo,8
0080e115000d7b9a,Na NLT,Ativo,8
0080e115000d7c1e,Na NLT,Ativo,8
0080e115000d7c21,Na NLT,Não ativo, desconhecida
0080e115000d7c25,Na NLT,Não ativo, desconhecida
0080e115000d7c2a,Na NLT,Ativo,8
0080e115000d7c2c,Na NLT,Ativo,8
0080e115000d7c6e,Na NLT,Não ativo, desconhecida
0080e115000d7ca3,Na NLT,Ativo,8
0080e115000d7e67,Na NLT,Ativo,8
0080e115000d7e6a,Na NLT,Ativo,8
0080e115000d7f17,Na NLT,Ativo,8
0080e115000d7f1e,Na NLT,Não ativo, desconhecida
0080e115000d7f22,Na NLT,Não ativo, desconhecida
0080e115000d7f27,Na NLT,Não ativo, desconhecida
0080e115000d7f37,Na NLT,Não ativo, desconhecida
0080e115000d7f3e,Fora da NLT,Não ativo, desconhecida
0080e115000d7f42,Na NLT,Não ativo, desconhecida
0080e115000d7f56,Na NLT,Não ativo, desconhecida
0080e115000d8007,Na NLT,Ativo,8
0080e115000d801c,Na NLT,Ativo,8
0080e115000d812a,Na NLT,Ativo,8
0080e115000d81e8,Na NLT,Ativo,8
0080e115000d81e9,Na NLT,Não ativo, desconhecida
0080e115000d83ad,Na NLT,Ativo,8
0080e115000d83be,Na NLT,Ativo,8
0080e115000d8463,Na NLT,Não ativo, desconhecida
0080e115000d84dd,Na NLT,Ativo,8
0080e115000d84de,Na NLT,Ativo,8
0080e115000d856d,Na NLT,Ativo,8
0080e115000d85aa,Na NLT,Ativo,8
0080e115000d8a69,Na NLT,Ativo,8
0080e115000d8a87,Na NLT,Ativo,8
0080e115000d8a89,Na NLT,Ativo,8
0080e115000d8d2d,Na NLT,Ativo,8
0080e115000d8d38,Na NLT,Ativo,8
0080e115000d900b,Na NLT,Ativo, desconhecida
0080e115000d92f0,Na NLT,Não ativo, desconhecida
0080e115000d92f7,Na NLT,Ativo,8
0080e115000d938f,Na NLT,Não ativo, desconhecida
0080e115000d93a3,Na NLT,Ativo,8
0080e115000d93a7,Na NLT,Ativo,8
0080e115000d9576,Na NLT,Ativo,8
0080e115000d958f,Na NLT,Não ativo, desconhecida
0080e115000d9590,Na NLT,Não ativo, desconhecida
0080e115000d9593,Na NLT,Ativo,8
0080e115002161d8,Na NLT,Não ativo, desconhecida
0080e115002161d9,Na NLT,Não ativo, desconhecida
0080e115002161da,Na NLT,Não ativo, desconhecida
0080e115002161db,Na NLT,Não ativo, desconhecida
0080e115002161dc,Na NLT,Não ativo, desconhecida
0080e115002161e0,Na NLT,Não ativo, desconhecida
0080e115002161e1,Na NLT,Não ativo, desconhecida
0080e115002161ed,Na NLT,Não ativo, desconhecida
0080e115002161ee,Na NLT,Não ativo, desconhecida
0080e115002161ef,Na NLT,Não ativo, desconhecida
0080e115002161f1,Na NLT,Ativo,8
0080e115002161f2,Na NLT,Não ativo, desconhecida
0080e115002161f5,Na NLT,Não ativo, desconhecida
0080e115002161f7,Na NLT,Não ativo, desconhecida
0080e115002161fa,Na NLT,Não ativo, desconhecida
0080e115002161fc,Na NLT,Não ativo,8
0080e115002161fd,Na NLT,Não ativo, desconhecida
0080e115002161fe,Na NLT,Não ativo, desconhecida
0080e115002161ff,Na NLT,Não ativo, desconhecida
0080e11500216200,Na NLT,Não ativo, desconhecida
0080e11500216201,Na NLT,Não ativo, desconhecida
